date,url,sku,source,visits,unique_visitors,avg_time_on_page,bounce_rate
2023-09-01,/produit-1,SKU001,google,370,269,218,0.28
2023-09-01,/produit-1,SKU001,facebook,405,311,271,0.63
2023-09-01,/produit-1,SKU001,newsletter,168,123,151,0.29
2023-09-01,/produit-1,SKU001,direct,91,79,212,0.46
2023-09-01,/produit-1,SKU001,instagram,325,234,119,0.35
2023-09-01,/produit-2,SKU002,google,260,184,198,0.59
2023-09-01,/produit-2,SKU002,facebook,87,65,147,0.5
2023-09-01,/produit-2,SKU002,newsletter,289,245,186,0.67
2023-09-01,/produit-2,SKU002,direct,326,244,143,0.26
2023-09-01,/produit-2,SKU002,instagram,382,334,291,0.65
2023-09-01,/produit-3,SKU003,google,252,190,192,0.47
2023-09-01,/produit-3,SKU003,facebook,379,291,62,0.66
2023-09-01,/produit-3,SKU003,newsletter,459,322,173,0.39
2023-09-01,/produit-3,SKU003,direct,447,330,161,0.38
2023-09-01,/produit-3,SKU003,instagram,255,200,199,0.24
2023-09-01,/produit-4,SKU004,google,118,88,156,0.61
2023-09-01,/produit-4,SKU004,facebook,453,355,129,0.63
2023-09-01,/produit-4,SKU004,newsletter,100,79,161,0.23
2023-09-01,/produit-4,SKU004,direct,224,204,228,0.64
2023-09-01,/produit-4,SKU004,instagram,357,273,261,0.56
2023-09-01,/produit-5,SKU005,google,79,69,177,0.46
2023-09-01,/produit-5,SKU005,facebook,320,233,273,0.25
2023-09-01,/produit-5,SKU005,newsletter,234,168,166,0.41
2023-09-01,/produit-5,SKU005,direct,211,191,201,0.24
2023-09-01,/produit-5,SKU005,instagram,354,326,234,0.6
2023-09-01,/produit-6,SKU006,google,237,200,199,0.65
2023-09-01,/produit-6,SKU006,facebook,399,286,156,0.61
2023-09-01,/produit-6,SKU006,newsletter,412,311,92,0.46
2023-09-01,/produit-6,SKU006,direct,195,184,159,0.67
2023-09-01,/produit-6,SKU006,instagram,475,360,131,0.55
2023-09-01,/produit-7,SKU007,google,97,77,64,0.34
2023-09-01,/produit-7,SKU007,facebook,282,242,178,0.34
2023-09-01,/produit-7,SKU007,newsletter,260,192,177,0.69
2023-09-01,/produit-7,SKU007,direct,219,164,109,0.58
2023-09-01,/produit-7,SKU007,instagram,175,153,264,0.52
2023-09-01,/produit-8,SKU008,google,401,345,95,0.62
2023-09-01,/produit-8,SKU008,facebook,351,301,185,0.54
2023-09-01,/produit-8,SKU008,newsletter,308,271,149,0.29
2023-09-01,/produit-8,SKU008,direct,140,114,133,0.66
2023-09-01,/produit-8,SKU008,instagram,206,195,160,0.53
2023-09-01,/produit-9,SKU009,google,397,346,83,0.25
2023-09-01,/produit-9,SKU009,facebook,181,157,191,0.52
2023-09-01,/produit-9,SKU009,newsletter,471,420,211,0.64
